CBSA Code,CBSA_title,metro_micro_area,user_est,pop_est,inter_cbsa_connections,outer_county_inter_cbsa_connections,outer_cbsa_connections,total inter_cbsa connections,total connections,coverage est,rescaled total inter_cbsa connections,rescaled outer_cbsa_connections,rescaled total connections,normed pop_est
10100,"Aberdeen, SD",Micropolitan Statistical Area,22110,42536,7907630.599134538,713997.3903135201,15979271.33229773,8621627.98944806,24600899.32174579,0.5197949971788602,0.8235856992825485,0.7876120116471851,0.7998560961323108,0.8321557540000097
10140,"Aberdeen, WA",Micropolitan Statistical Area,40372,76176,11237518.943409408,,20741353.44857839,11237518.943409408,31978872.3919878,0.5299831968073934,1.052834114752962,1.0026802177272613,1.0197507098787886,1.4902740435561581
10220,"Ada, OK",Micropolitan Statistical Area,20069,38341,8252010.785584329,,15456690.540390722,8252010.785584329,23708701.325975053,0.5234344435460734,0.7827969092983373,0.7565570274985929,0.7654880921392929,0.7500866034444793
10300,"Adrian, MI",Micropolitan Statistical Area,52549,98924,17765948.792832155,,31793215.08093091,17765948.792832155,49559163.87376307,0.5312057741296349,1.6606466409008986,1.5334129116864759,1.5767184672817143,1.9353059951264098
10460,"Alamogordo, NM",Micropolitan Statistical Area,36019,68454,9263567.857410109,,24557160.441840943,9263567.857410109,33820728.29925105,0.5261781634382213,0.8741723765072129,1.1957290534840683,1.0862833063711028,1.339204203129506
10620,"Albemarle, NC",Micropolitan Statistical Area,33247,62890,15949244.16247304,,28209547.057141293,15949244.16247304,44158791.219614334,0.5286532040069963,1.4980311713964858,1.3671390840627904,1.4116898065795647,1.2303525335964973
10660,"Albert Lea, MN",Micropolitan Statistical Area,16105,30656,5285911.06839048,,10248429.092533795,5285911.06839048,15534340.160924274,0.5253457724425887,0.49960436356441884,0.49980375394915527,0.49973588899349713,0.5997406148820834
10700,"Albertville, AL",Micropolitan Statistical Area,50675,98299,20458252.2177748,,37759941.72518452,20458252.2177748,58218193.94295932,0.5155189778125921,1.970495662904614,1.8766103732065258,1.908565379616373,1.9230787676896501
10820,"Alexandria, MN",Micropolitan Statistical Area,21230,39511,6627190.70390663,,15818767.64095837,6627190.70390663,22445958.344865,0.5373187213687327,0.61241963718153,0.7542722481359452,0.7059909773758662,0.7729759732060932
10860,"Alice, TX",Micropolitan Statistical Area,18437,38443,8314334.736918408,,13974281.755943762,8314334.736918408,22288616.492862172,0.47959316390500223,0.8608076812939076,0.7465243297173364,0.7854220659219306,0.7520820869621585
10940,"Alma, MI",Micropolitan Statistical Area,20223,41409,5111626.726892448,,13376939.225237343,5111626.726892448,18488565.952129792,0.4883720930232558,0.5197086024793504,0.7017676909890237,0.6398016539345952,0.8101076174860449
10980,"Alpena, MI",Micropolitan Statistical Area,15702,28606,5813237.62152063,,8313157.314333168,5813237.62152063,14126394.935853798,0.5489058239530169,0.5258620731566525,0.3880213435333234,0.4349371214237244,0.5596353088895119
11060,"Altus, OK",Micropolitan Statistical Area,12464,24468,3789910.376825232,,10759586.39354472,3789910.376825232,14549496.770369953,0.509400032695766,0.36942100368338815,0.5411579754949842,0.4827051970810833,0.47868128147621397
11140,"Americus, GA",Micropolitan Statistical Area,17419,33473,11484506.06449236,1393767.849321396,20901241.502576306,12878273.913813755,33779515.41639006,0.5203895677112897,1.2287985461961934,1.029036919457199,1.097028231870607,0.6548511743850463
11220,"Amsterdam, NY",Micropolitan Statistical Area,25601,48768,6955361.603200001,,18687088.420025486,6955361.603200001,25642450.023225486,0.5249548884514436,0.6578840263029527,0.9120257725951026,0.825525521513269,0.954075884217427
11380,"Andrews, TX",Micropolitan Statistical Area,9576,19439,3448293.6604788,,7529849.387529336,3448293.6604788,10978143.048008136,0.49261793302124596,0.3475726847651348,0.39161879494825247,0.3766271627366835,0.3802961186290716
11420,"Angola, IN",Micropolitan Statistical Area,18431,34152,4197373.83557758,,12504665.669848127,4197373.83557758,16702039.505425707,0.5396755680487234,0.38618598260153164,0.5936449562075929,0.5230337576622159,0.6681348342723419
11580,"Arcadia, FL",Micropolitan Statistical Area,17911,33912,6008483.964235051,,13231028.84866396,6008483.964235051,19239512.81289901,0.5281611229063459,0.5648720529802747,0.6418220611435901,0.6156311848944582,0.6634395789366262
11620,"Ardmore, OK",Micropolitan Statistical Area,24600,48081,9733038.3176718,,18310874.4215526,9733038.3176718,28043912.739224397,0.5116366132151994,0.9445793133646605,0.9169273427595404,0.9263390290926499,0.9406357158189408
11660,"Arkadelphia, AR",Micropolitan Statistical Area,11823,21078,5218042.11118596,,14026111.94726723,5218042.11118596,19244154.05845319,0.5609165955024196,0.46191376321695304,0.6406583136823852,0.5798204201826074,0.41236079985922997
11680,"Arkansas City-Winfield, KS",Micropolitan Statistical Area,17529,34069,5965076.9620486805,,11159054.638696719,5965076.9620486805,17124131.6007454,0.5145146614224074,0.5756651107562724,0.5556701967451031,0.5624757102333814,0.6665110584687401
11740,"Ashland, OH",Micropolitan Statistical Area,26898,52211,8199112.459198207,,19636916.663364038,8199112.459198207,27836029.122562245,0.5151787937407826,0.7902426729648817,0.9765686401453016,0.9131503187584479,1.0214332347210482
11780,"Ashtabula, OH",Micropolitan Statistical Area,50592,96447,19563718.99612291,,28345653.5468088,19563718.99612291,47909372.54293171,0.5245575290055678,1.8518674737122054,1.3844612499120006,1.543548673783922,1.886847047349044
11820,"Astoria, OR",Micropolitan Statistical Area,22715,41930,5421726.2491777,,13935826.92298797,5421726.2491777,19357553.17216567,0.5417362270450752,0.4969369834255447,0.6590711783344727,0.6038868224654014,0.8203002342773276
11860,"Atchison, KS",Micropolitan Statistical Area,8439,16117,2620718.492708766,,6441877.362254793,2620718.492708766,9062595.85496356,0.5236086120245703,0.24852220872599273,0.31520502073119966,0.2925087102452302,0.315305959357207
11900,"Athens, OH",Micropolitan Statistical Area,36523,62032,12878518.214477016,,27592910.729566693,12878518.214477016,40471428.94404371,0.5887767603817384,1.086092586732602,1.2006994483640252,1.1616916015562722,1.2135669957713138
11940,"Athens, TN",Micropolitan Statistical Area,28676,53542,11600744.967900699,,22674038.2602923,11600744.967900699,34274783.228193,0.5355795450300699,1.075507664727263,1.0846568116899542,1.0815427876423365,1.0474723382703715
11980,"Athens, TX",Micropolitan Statistical Area,42826,82865,11344575.8008359,,33603294.36565801,11344575.8008359,44947870.16649391,0.5168165087793399,1.0899422702530996,1.665838646585381,1.4698252726448586,1.6211347224753339
12140,"Auburn, IN",Micropolitan Statistical Area,22312,43371,5925050.310273767,,15052673.209534952,5925050.310273767,20977723.51980872,0.5144451361508843,0.5718795796409607,0.7496560022784075,0.6891476229234793,0.8484913298555206
12180,"Auburn, NY",Micropolitan Statistical Area,40240,74863,15439451.26429152,,25819574.73210784,15439451.26429152,41259025.99639936,0.5375151944218105,1.4262403797945915,1.23068184608421,1.2972425843884852,1.4645870841570134
12300,"Augusta-Waterville, ME",Micropolitan Statistical Area,67629,124136,22261709.461517062,,41882513.75809764,22261709.461517062,64144223.2196147,0.5447976412966424,2.028966629724733,1.9696314763998517,1.989826921404315,2.4285425681433424
12380,"Austin, MN",Micropolitan Statistical Area,20413,39976,5267319.526937916,,12805108.810361382,5267319.526937916,18072428.3372993,0.5106313788272964,0.5121931638410785,0.6424853494211248,0.5981388108020069,0.7820730304190424
12460,"Bainbridge, GA",Micropolitan Statistical Area,15252,29705,9183299.121711107,,19086499.472596727,9183299.121711107,28269798.594307832,0.5134489143241878,0.88808207240957,0.9523936685877127,0.9305044304045144,0.58113566561431
12660,"Baraboo, WI",Micropolitan Statistical Area,34995,66347,9567127.35269565,,23742391.327212572,9567127.35269565,33309518.679908223,0.5274541426138333,0.9006342527408343,1.1532599388495666,1.0672756973900561,1.297983773994702
12680,"Bardstown, KY",Micropolitan Statistical Area,24667,47457,11672694.37626961,,19302000.41335797,11672694.37626961,30974694.78962758,0.519775797037318,1.1150816628323752,0.9514231673709332,1.007126337572716,0.92842805194608
12740,"Barre, VT",Micropolitan Statistical Area,32565,59806,9683524.87946298,,24494407.860586364,9683524.87946298,34177932.74004935,0.5445105842223188,0.8830367110363185,1.152518947379829,1.0607973729203097,1.170018502532551
12780,"Bartlesville, OK",Micropolitan Statistical Area,27204,52614,8361177.367670688,,19345897.640319683,8361177.367670688,27707075.00799037,0.5170486942638841,0.8029483371818549,0.9586164884730538,0.9056329296182467,1.0293173509722708
12820,"Bastrop, LA",Micropolitan Statistical Area,12807,24972,8322377.990226588,,16887489.080671098,8322377.990226588,25209867.070897687,0.5128543969245555,0.8057586308065138,0.843642505469314,0.830748265470987,0.4885413176812169
12860,"Batavia, NY",Micropolitan Statistical Area,30489,57422,10268636.360132592,,21485877.14449735,10268636.360132592,31754513.50462994,0.5309637421197451,0.9602836213885084,1.0367538994280074,1.010726305192819,1.123378966197775
12900,"Batesville, AR",Micropolitan Statistical Area,19657,38146,8840881.363866553,,14968882.202459252,8840881.363866553,23809763.566325806,0.5153095999580559,0.8518810196047417,0.744232433114862,0.7808719458900474,0.7462717084842103
13060,"Bay City, TX",Micropolitan Statistical Area,18378,36043,7032430.040197411,,14613656.438864447,7032430.040197411,21646086.479061857,0.5098909635712898,0.684825175593058,0.7342923988080927,0.7174556244849055,0.7051295336050016
13100,"Beatrice, NE",Micropolitan Statistical Area,11294,21481,4456537.344853362,,8297655.832923064,4456537.344853362,12754193.177776426,0.5257669568455845,0.4208776601271084,0.40434267871870366,0.40997056183640407,0.4202449161104525
13180,"Beaver Dam, WI",Micropolitan Statistical Area,47521,89451,13852151.86934304,,33066033.3813109,13852151.86934304,46918185.25065394,0.5312517467663861,1.2946980257382137,1.5946639766515216,1.492566897172991,1.7499803543129318
13260,"Bedford, IN",Micropolitan Statistical Area,23619,44650,11797690.751117207,,16237454.467863588,11797690.751117207,28035145.218980797,0.5289809630459127,1.1074103482568856,0.7864395719934538,0.8956859006340137,0.8735131280821054
13300,"Beeville, TX",Micropolitan Statistical Area,11586,30824,4129843.8221754003,,8569966.855221732,4129843.8221754003,12699810.677397132,0.37587594082533093,0.5455577286573302,0.5841468901391884,0.571012597147509,0.6030272936170843
13340,"Bellefontaine, OH",Micropolitan Statistical Area,23673,45958,7475304.854578704,,16362777.532721333,7475304.854578704,23838082.387300037,0.5151007441577092,0.7205901871892014,0.8138648709554676,0.7821176917412124,0.8991022696617559
13420,"Bemidji, MN",Micropolitan Statistical Area,24164,46424,8111948.565719795,,16688726.163833948,8111948.565719795,24800674.729553744,0.5205066344993968,0.773838853418925,0.8214561283677233,0.8052490065587434,0.9082188904386038
13500,"Bennettsville, SC",Micropolitan Statistical Area,14287,26344,11573392.137613488,,19974897.694653265,11573392.137613488,31548289.832266755,0.5423246279987853,1.0596268486889129,0.9436537964745566,0.9831266429534523,0.5153825273503916
13540,"Bennington, VT",Micropolitan Statistical Area,20234,37346,6472696.063363064,,13895043.564851318,6472696.063363064,20367739.62821438,0.5417983184276763,0.5931973115994629,0.6570670888435861,0.6353282291372927,0.730620857365158
13620,"Berlin, NH-VT",Micropolitan Statistical Area,20728,36718,6057685.190394071,833128.8709219501,12156568.255221222,6890814.061316021,19047382.316537242,0.5645187646385968,0.6060992704226452,0.5517216993669806,0.5702297706231217,0.718334939236702
13660,"Big Rapids, MI",Micropolitan Statistical Area,21793,39340,4146539.5034596804,,16509148.123038424,4146539.5034596804,20655687.626498103,0.5539654295882054,0.37166764545168746,0.7635358896572197,0.6301587408443294,0.7696306037793958
13700,"Big Spring, TX",Micropolitan Statistical Area,18716,36081,6665871.85184408,97540.42581696,13041797.25549754,6763412.2776610395,19805209.533158578,0.5187217649178237,0.647415366399123,0.6441550687037645,0.6452647508924036,0.7058729490331567
13720,"Big Stone Gap, VA",Micropolitan Statistical Area,27421,52203,12228682.375990061,4032379.35694812,18874319.91227793,16261061.732938182,35135381.64521611,0.5252763251154148,1.537137380514915,0.9205999346037903,1.130445993548228,1.0212767262098577
13940,"Blackfoot, ID",Micropolitan Statistical Area,22966,48957,7394765.7106668595,,17260563.042763423,7394765.7106668595,24655328.753430285,0.4691055415977286,0.7827182640939133,0.9426964027856143,0.8882458870150615,0.957773397794303
14140,"Bluefield, WV-VA",Micropolitan Statistical Area,53326,98262,26227477.68280092,4937739.265908906,39640305.36790317,31165216.948709823,70805522.31661299,0.5426919867293563,2.851467053362594,1.8714190123972023,2.2049903474989643,1.9223549158253939
14180,"Blytheville, AR",Micropolitan Statistical Area,19897,39638,12781648.694491584,,23034980.675032783,12781648.694491584,35816629.36952437,0.5019678086684495,1.2643363452508976,1.1757079110480504,1.2058736824074838,0.7754605458212428
14220,"Bogalusa, LA",Micropolitan Statistical Area,23209,44807,17070876.607690416,,23386062.159753364,17070876.607690416,40456938.767443776,0.5179771017921307,1.6364278961807075,1.1567353109271978,1.3200045481615381,0.8765846076142194
14340,"Boone, IA",Micropolitan Statistical Area,14063,26678,3122732.1273999056,,12097259.22017793,3122732.1273999056,15219991.347577836,0.5271384661518854,0.2941451116465372,0.5879626425152134,0.4879582529838349,0.5219167576925959
14380,"Boone, NC",Micropolitan Statistical Area,32482,54276,8350807.064118517,,29518303.507550538,8350807.064118517,37869110.57166906,0.5984597243717297,0.6928594331042358,1.2636998108078246,1.0694073078270403,1.061831994172102
14420,"Borger, TX",Micropolitan Statistical Area,10282,20209,3696408.955774158,,7583241.914787286,3696408.955774158,11279650.870561443,0.5087832153990797,0.3607437791319122,0.38186476716113293,0.37467598061079666,0.39536006283115943
14580,"Bozeman, MT",Micropolitan Statistical Area,69727,124974,18612997.92773606,,65252468.43440488,18612997.92773606,83865466.36214094,0.5579320498663722,1.65648165927426,2.9964227816283873,2.540357435381546,2.4449368346905493
14620,"Bradford, PA",Micropolitan Statistical Area,21506,39714,10068029.29190938,,13130780.942228314,10068029.29190938,23198810.23413769,0.5415218814523846,0.9231665776184842,0.6212437048619912,0.7240068466197526,0.7769473766775528
14660,"Brainerd, MN",Micropolitan Statistical Area,51949,96378,12401907.814604593,3017703.437992512,33529749.07860021,15419611.252597105,48949360.331197314,0.5390130527713793,1.4204493585456315,1.59374368154582,1.5347608396110644,1.8854971614400258
14700,"Branson, MO",Micropolitan Statistical Area,47310,87369,8915802.132278737,1998303.756088068,36606368.41111259,10914105.888366805,47520474.299479395,0.5414964117707654,1.0007928462374844,1.7320025134342134,1.483126361724482,1.7092490142755983
14720,"Breckenridge, CO",Micropolitan Statistical Area,17596,31407,2420136.6682395604,,18411057.68718209,2420136.6682395604,20831194.35542165,0.5602572674881395,0.21448849677580886,0.8419352538198376,0.6283760774285668,0.6144328513700937
14780,"Brenham, TX",Micropolitan Statistical Area,19407,36531,8769967.038680047,,18360397.522456516,8769967.038680047,27130364.561136562,0.5312474336864581,0.8196958351451961,0.8854676306468183,0.8630813957680622,0.7146765527876235
14820,"Brevard, NC",Micropolitan Statistical Area,17854,32955,5322563.694531864,,13371584.692769382,5322563.694531864,18694148.387301244,0.5417690790471855,0.48781849869532223,0.6323479570188769,0.5831555885233155,0.6447172482854598
15020,"Brookhaven, MS",Micropolitan Statistical Area,17704,34938,13269649.484760983,,21855231.121298566,13269649.484760983,35124880.60605955,0.50672620069838,1.3002824570371103,1.1050183702822713,1.171478889964631,0.6835117954968107
15060,"Brookings, OR",Micropolitan Statistical Area,12838,23622,2093711.881662324,,7155997.857725654,2093711.881662324,9249709.739387978,0.5434764202861739,0.19128804293369864,0.33734707626819543,0.2876340982134989,0.46213050641781617
15100,"Brookings, SD",Micropolitan Statistical Area,19896,34848,5073713.2328496,,17674717.666252464,5073713.2328496,22748430.899102062,0.5709366391184573,0.4412549755084847,0.7931439682165304,0.6733742465306299,0.6817510747459173
15220,"Brownwood, TX",Micropolitan Statistical Area,19751,38091,7271447.5462935,,14048823.811233172,7271447.5462935,21320271.35752667,0.5185214355097004,0.696315036142153,0.6941617928526218,0.6948946755368017,0.7451957124697755
15340,"Bucyrus, OH",Micropolitan Statistical Area,21989,41505,6571973.282247649,,14368287.727585342,6571973.282247649,20940261.00983299,0.5297915913745332,0.6159455764052527,0.6948441572370977,0.6679900604524257,0.8119857196203311
15420,"Burley, ID",Micropolitan Statistical Area,22607,47371,5056706.371880754,2940907.4006004,13169722.855202144,7997613.772481154,21167336.627683297,0.4772329062084398,0.8321117563243271,0.7070232719775504,0.749598667249305,0.9267455854507819
15460,"Burlington, IA-IL",Micropolitan Statistical Area,23261,44712,8403264.806922331,1255689.4207143,16381551.933824742,9658954.227636632,26040506.161461376,0.5202406512792986,0.9218864586457367,0.8067485864906484,0.8459371692235078,0.8747260690438319
15580,"Butte-Silver Bow, MT",Micropolitan Statistical Area,19124,35421,7918380.168372856,,12985564.728620064,7918380.168372856,20903944.89699292,0.5399057056548375,0.7282324784982982,0.6162123231228231,0.6543397528252449,0.6929609968599385
15620,"Cadillac, MI",Micropolitan Statistical Area,25321,48642,5454777.130536888,2035825.2751471237,14969668.276009815,7490602.405684011,22460270.681693826,0.5205583651987994,0.7144945630045345,0.7367670613234403,0.7291863441649521,0.9516108751661763
15660,"Calhoun, GA",Micropolitan Statistical Area,29490,57997,10253048.37794259,,21680524.9105086,10253048.37794259,31933573.288451187,0.5084745762711864,1.001233508776687,1.0924158796325623,1.061380844702869,1.1346280154395938
15700,"Cambridge, MD",Micropolitan Statistical Area,17126,32317,8608372.80877425,,17964870.384449158,8608372.80877425,26573243.19322341,0.529937803632763,0.8065806110560695,0.8685336347206735,0.8474471655338813,0.6322356945180156
15740,"Cambridge, OH",Micropolitan Statistical Area,19887,37937,7490454.912466764,,13641093.888115933,7490454.912466764,21131548.8005827,0.524211192239766,0.7095018259492917,0.6666998597139892,0.681268032319106,0.7421829236293579
15780,"Camden, AR",Micropolitan Statistical Area,14003,26634,6991516.284286094,993822.7996177801,15858340.723971887,7985339.083903874,23843679.80787576,0.5257565517759255,0.7541544213234593,0.772788242756084,0.7664459937708142,0.521055960881048
15820,"Campbellsville, KY",Micropolitan Statistical Area,13783,26146,7460318.080488041,,13040775.965614473,7460318.080488041,20501094.046102516,0.5271552053851449,0.7027008157960154,0.6338002257343391,0.6572513841015689,0.5115089416984261
15860,"Cañon City, CO",Micropolitan Statistical Area,22840,49409,6128808.95594904,,13520730.81473524,6128808.95594904,19649539.77068428,0.46226396000728615,0.6583209272650097,0.7493722141732476,0.7183817952680718,0.9666161286765677
15900,"Canton, IL",Micropolitan Statistical Area,17910,32905,8513983.10010411,,12692499.324025681,8513983.10010411,21206482.42412979,0.5442941802157727,0.7766953507913147,0.5974491025216456,0.6584577550040263,0.6437390700905191
16100,"Carlsbad-Artesia, NM",Micropolitan Statistical Area,33090,64397,14820511.175417641,,22883133.71304258,14820511.175417641,37703644.88846022,0.5138438125999658,1.4321340293499432,1.1409636850471414,1.2400670722601312,1.259834824392012
16260,"Cedar City, UT",Micropolitan Statistical Area,29585,59991,7559471.55692264,,23744487.981958076,7559471.55692264,31303959.538880717,0.49315730692937276,0.7611277872883881,1.233572819531863,1.0727703755900195,1.1736377618538316
16340,"Cedartown, GA",Micropolitan Statistical Area,21378,42960,9819311.187481951,,19137455.69882769,9819311.187481951,28956766.886309642,0.49762569832402237,0.9797828560826978,0.9853008402734503,0.9834227268783493,0.8404507050931074
16380,"Celina, OH",Micropolitan Statistical Area,21600,42655,9877856.587452,,13625956.272132,9877856.587452,23503812.859584,0.5063884655960614,0.9685689090285615,0.6893989869142327,0.7844178836901512,0.8344838181039688
16460,"Centralia, IL",Micropolitan Statistical Area,19356,37088,8362318.736763599,,13752770.251779072,8362318.736763599,22115088.988542672,0.5218938740293356,0.7956024838796356,0.6751424938533416,0.7161425244843247,0.7255734578792638
16500,"Centralia, WA",Micropolitan Statistical Area,44081,83434,11804424.28396696,,24984802.045435347,11804424.28396696,36789226.329402305,0.5283337728024546,1.109399715668848,1.2115880874956757,1.1768070255504135,1.63226639033376
16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area,30606,55954,10761164.394403292,1752617.080697868,22725672.35527613,12513781.47510116,35239453.83037729,0.5469850234120885,1.135964459000453,1.0644585640972628,1.0887964698258512,1.0946596543943141
17060,"Chillicothe, OH",Micropolitan Statistical Area,41201,76737,20710037.9015024,,27229611.774500363,20710037.9015024,47939649.67600276,0.5369117896190886,1.9152680580122992,1.2993494409006612,1.5089848738959455,1.5012492029033935
17200,"Claremont-Lebanon, NH-VT",Micropolitan Statistical Area,122174,221552,26601625.07180249,13005056.059689146,78751957.08408064,39606681.13149163,118358638.21557227,0.5514461616234564,3.56629238508685,3.658859155745419,3.6273529234139703,4.3343467089103385
17220,"Clarksburg, WV",Micropolitan Statistical Area,47928,89303,19906368.66732753,4633849.871976968,32922195.132441968,24540218.5393045,57462413.67174646,0.536689696874685,2.2704230144896616,1.5716396670155237,1.8094791242876576,1.747084946855907
17260,"Clarksdale, MS",Micropolitan Statistical Area,9752,20543,7342732.145379679,,16591303.699057033,7342732.145379679,23934035.844436713,0.4747115805870613,0.7680322770418542,0.8954434033844547,0.8520774685073692,0.4018942931733637
17340,"Clearlake, CA",Micropolitan Statistical Area,36724,68073,9187669.334145935,,19379736.637939755,9187669.334145935,28567405.972085692,0.5394796762299296,0.8456329185799606,0.9203653025103358,0.894929221786745,1.3317504852840574
17380,"Cleveland, MS",Micropolitan Statistical Area,15155,30301,10492468.199216431,,24853793.301738486,10492468.199216431,35346261.50095492,0.5001485099501667,1.041670331196278,1.2731546416571597,1.1943661259232932,0.592795549698004
17500,"Clewiston, FL",Micropolitan Statistical Area,19035,39596,4308178.528042289,,15452532.01734372,4308178.528042289,19760710.54538601,0.48073037680573794,0.4449833269701787,0.8235415991940018,0.6946946621039289,0.7746388761374926
17540,"Clinton, IA",Micropolitan Statistical Area,23951,45791,8343412.7767906,,16235245.42725134,8343412.7767906,24578658.204041943,0.5230503810792514,0.7920485800763044,0.7952483747479224,0.7941592855032651,0.8958351544906537
17580,"Clovis, NM",Micropolitan Statistical Area,23675,48416,6157034.90171945,,17716653.777682073,6157034.90171945,23873688.679401524,0.4889912425644415,0.6252045738529983,0.9282566553777314,0.8251091736073527,0.947189509725044
17700,"Coffeyville, KS",Micropolitan Statistical Area,15819,30687,4513683.116716884,,10952597.081087211,4513683.116716884,15466280.197804095,0.5154951608172842,0.43476851500100755,0.5443521887219801,0.5070540453447908,0.6003470853629467
17740,"Coldwater, MI",Micropolitan Statistical Area,22202,44777,5849994.9705391275,,13187752.331808945,5849994.9705391275,19037747.302348074,0.49583491524666684,0.5858278309694644,0.6814298156568667,0.6488905111150793,0.8759977006972549
18060,"Columbus, MS",Micropolitan Statistical Area,30166,58442,22966465.52382384,,43990118.810009286,22966465.52382384,66956584.33383313,0.5161698778275897,2.2092919965629965,2.183483593361345,2.192267798984918,1.1433338013745666
18100,"Columbus, NE",Micropolitan Statistical Area,17585,34655,5593107.494286479,,11757797.064240934,5593107.494286479,17350904.558527414,0.5074303852257972,0.5473036054353063,0.5936588487053138,0.577881274810761,0.677975306913446
18180,"Concord, NH",Micropolitan Statistical Area,84383,155006,18483734.56243189,,58598677.48457952,18483734.56243189,77082412.0470114,0.5443853786305046,1.6859119282812591,2.7578384176039257,2.392995129082998,3.032469785699772
18220,"Connersville, IN",Micropolitan Statistical Area,12162,23190,5762242.337799372,,8652940.15052769,5762242.337799372,14415182.488327062,0.5244501940491592,0.5455554279498593,0.42271426538426643,0.4645247572067836,0.45367904681352794
18260,"Cookeville, TN",Micropolitan Statistical Area,62412,115552,23353376.541211482,9521031.70121688,44911186.07672023,32874408.242428362,77785594.3191486,0.5401204652450845,3.022170231220639,2.1303518930091214,2.4338931698759323,2.2606089356359114
18300,"Coos Bay, OR",Micropolitan Statistical Area,35059,65073,8411107.66774893,,16741741.215592355,8411107.66774893,25152848.883341283,0.538764157177324,0.7751863368384895,0.7961398892777781,0.7890080914779342,1.2730597935876113
18380,"Cordele, GA",Micropolitan Statistical Area,9940,19572,6550552.1558274,,14428347.90994044,6550552.1558274,20978900.06576784,0.5078683834048641,0.6404398453924365,0.7278684306468268,0.6981110425491601,0.38289807262761405
18420,"Corinth, MS",Micropolitan Statistical Area,17601,34094,10970564.604120001,,18232349.31048344,10970564.604120001,29202913.914603442,0.5162491934064645,1.0551670128155883,0.904837730012939,0.9560041396921772,0.6670001475662105
18460,"Cornelia, GA",Micropolitan Statistical Area,24118,46571,6068869.950811308,,18314291.61310798,6068869.950811308,24383161.563919287,0.5178759313736016,0.5818803832775136,0.9060493487236012,0.7957144772861848,0.9110947343317296
18500,"Corning, NY",Micropolitan Statistical Area,48140,91525,17359284.30385968,,29987156.37878392,17359284.30385968,47346440.6826436,0.5259765091505053,1.6387665096583603,1.4606843994797258,1.5212968233273483,1.790555185839075
18620,"Corsicana, TX",Micropolitan Statistical Area,26929,53342,10380034.78315373,,20292921.8707848,10380034.78315373,30672956.653938532,0.5048367140339695,1.020938284822253,1.0298669160575826,1.0268279472343134,1.0435596254906083
18660,"Cortland, NY",Micropolitan Statistical Area,25039,45821,8135724.638224638,,17371838.404077422,8135724.638224638,25507563.04230206,0.5464524999454399,0.7392569843491796,0.8144807390768247,0.7888774142937348,0.8964220614076182
18740,"Coshocton, OH",Micropolitan Statistical Area,18872,36333,8473934.091508145,,11714227.5338018,8473934.091508145,20188161.625309944,0.5194176093358654,0.8100652928042329,0.5778091849756286,0.6568603913813993,0.7108029671356582
18780,"Craig, CO",Micropolitan Statistical Area,6693,13134,1596813.915153324,,4600863.643946952,1596813.915153324,6197677.559100276,0.5095934216537231,0.15559015302803192,0.23131457806450995,0.20554084401944261,0.2569478482470408
18820,"Crawfordsville, IN",Micropolitan Statistical Area,19794,37816,7480601.387818068,,13062213.422090838,7480601.387818068,20542814.809908904,0.5234292363020944,0.7096270295263091,0.6393611650415655,0.6632770112537238,0.7398157323976012
18860,"Crescent City, CA",Micropolitan Statistical Area,14550,27517,4044181.6446895497,,6979803.18943005,4044181.6446895497,11023984.8341196,0.5287640367772649,0.37976973950364584,0.33819619903521886,0.3523462619089735,0.538330587803702
18900,"Crossville, TN",Micropolitan Statistical Area,33772,62161,13112286.60280584,,21407316.375937633,13112286.60280584,34519602.97874347,0.5432988529785557,1.1983709084811316,1.0095106249483725,1.0737915318962232,1.216090695514261
18980,"Cullman, AL",Micropolitan Statistical Area,47187,89186,27512756.023071814,,35124158.409894355,27512756.023071814,62636914.43296617,0.5290852824434328,2.5820225359095463,1.7008566057484025,2.000772205274017,1.7447960098797457
19000,"Cullowhee, NC",Micropolitan Statistical Area,25103,43723,6389703.838754237,,21028289.93926453,6389703.838754237,27417993.778018765,0.5741371818036274,0.552607364557021,0.9383735074592865,0.8070732834435232,0.8553777043479035
19220,"Danville, KY",Micropolitan Statistical Area,29417,55027,10293510.94286142,3550957.578489384,24214432.734425623,13844468.521350803,38058901.25577643,0.534592109328148,1.2858945522395264,1.160484141524863,1.2031691083725526,1.0765242306601122
19260,"Danville, VA",Micropolitan Statistical Area,54398,101644,23851826.801334783,15134155.649171328,47519556.009915926,38985982.45050611,86505538.46042204,0.5351816142615403,3.617086629195119,2.2748807928462784,2.73171696219491,1.9885188889311873
19420,"Dayton, TN",Micropolitan Statistical Area,17435,33107,6437374.21964065,,13033621.73767929,6437374.21964065,19470995.957319938,0.5266257891080436,0.6069574493196412,0.6340893291621699,0.6248546620799544,0.6476909099980798
